2025-06-13 14:37:06,272 - INFO - --- INÍCIO DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:16,542 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:21,706 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:26,900 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:32,070 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:37,235 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:42,411 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:47,580 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:52,741 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:57,907 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:03,081 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:08,771 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:13,936 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:19,093 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:24,261 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:29,427 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:35,792 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 concluído com status: SUCCEEDED. Duração: 02:06:06.455 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:39:35,793 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 bem-sucedido. Obtendo resultados... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:14,367 - INFO - Texto extraído e sanitizado com sucesso. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:14,380 - INFO - Tarefas de limpeza (S3 e local) agendadas em segundo plano. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:14,389 - INFO - --- FIM DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:14,490 - INFO - Tentando excluir o objeto S3: textract_uploads/56cff994-96df-42b7-acff-dbb0b4817092.pdf do bucket: teste-textract-conrado [method=None, endpoint=None, status_code=None]
2025-06-13 14:42:15,062 - INFO - Objeto S3 'textract_uploads/56cff994-96df-42b7-acff-dbb0b4817092.pdf' excluído com sucesso. [method=None, endpoint=None, status_code=None]
2025-06-13 14:42:42,758 - INFO - --- INÍCIO DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:42,759 - INFO - local_temp_filepath (base): /tmp/252d81c6-9340-41c9-ad24-41cbdde54b37 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:42,760 - INFO - Processando upload de arquivo: 6926_07_02_2025.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:42,761 - INFO - Tentando salvar arquivo em '/tmp/252d81c6-9340-41c9-ad24-41cbdde54b37.pdf' [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:48,713 - INFO - Arquivo '6926_07_02_2025.pdf' salvo temporariamente em '/tmp/252d81c6-9340-41c9-ad24-41cbdde54b37.pdf'. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:48,716 - INFO - Iniciando upload para S3 para a chave: textract_uploads/ca3bf8c7-f584-4375-a9d5-169143e38a6f.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:42:48,718 - INFO - Tentando fazer upload do arquivo local: /tmp/252d81c6-9340-41c9-ad24-41cbdde54b37.pdf para o bucket: teste-textract-conrado com a chave: textract_uploads/ca3bf8c7-f584-4375-a9d5-169143e38a6f.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:43:06,815 - INFO - Upload de '/tmp/252d81c6-9340-41c9-ad24-41cbdde54b37.pdf' para s3://teste-textract-conrado/textract_uploads/ca3bf8c7-f584-4375-a9d5-169143e38a6f.pdf concluído com sucesso. [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:06,817 - INFO - Upload para S3 concluído. [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:06,820 - INFO - Iniciando job do Textract para a chave S3: textract_uploads/ca3bf8c7-f584-4375-a9d5-169143e38a6f.pdf [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:07,629 - INFO - Job do Textract iniciado com Job ID: 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:07,631 - INFO - Aguardando conclusão do job do Textract... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:07,649 - INFO - Acessando página inicial. [method=GET, endpoint=/, status_code=None]
2025-06-13 14:43:07,790 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:12,962 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:18,127 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:23,293 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:28,466 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:33,632 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:38,787 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:43,959 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:49,123 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:43:54,921 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 14:44:00,088 - INFO - Job 91eb1306ab9ed2d998bed4a7796b9f0a1c7825b50a961c42c17074cd23e58b44 ainda em andamento. Verificando novamente em 5 segundos... [method=None, endpoint=None, status_code=None]
2025-06-13 16:57:29,229 - INFO - --- INÍCIO DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:29,230 - INFO - local_temp_filepath (base): /tmp/bb650dcc-cc25-4cfe-9afb-6f4107e8fa91 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:29,231 - INFO - Processando documento de URL: https://transparencia.pmspa.rj.gov.br/ver20240713/tmp/lai_lei_loa/451CC597-A0E7-4777-BE4D-78AF0BE29F11_Loa-2025.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:29,280 - INFO - Tentando baixar documento da URL: https://transparencia.pmspa.rj.gov.br/ver20240713/tmp/lai_lei_loa/451CC597-A0E7-4777-BE4D-78AF0BE29F11_Loa-2025.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:39,424 - INFO - Status da resposta HTTP para URL: 200 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:39,428 - INFO - Content-Type da URL: application/pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:39,429 - INFO - Tentando baixar e salvar arquivo da URL em '/tmp/bb650dcc-cc25-4cfe-9afb-6f4107e8fa91.pdf' [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:39,504 - INFO - Arquivo de URL 'https://transparencia.pmspa.rj.gov.br/ver20240713/tmp/lai_lei_loa/451CC597-A0E7-4777-BE4D-78AF0BE29F11_Loa-2025.pdf' baixado para '/tmp/bb650dcc-cc25-4cfe-9afb-6f4107e8fa91.pdf'. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:39,506 - INFO - Iniciando upload para S3 para a chave: textract_uploads/85441cf0-d4b5-41cf-aabc-59a58b841d20.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:57:39,507 - INFO - Tentando fazer upload do arquivo local: /tmp/bb650dcc-cc25-4cfe-9afb-6f4107e8fa91.pdf para o bucket: teste-textract-conrado com a chave: textract_uploads/85441cf0-d4b5-41cf-aabc-59a58b841d20.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:12,466 - INFO - Upload de '/tmp/bb650dcc-cc25-4cfe-9afb-6f4107e8fa91.pdf' para s3://teste-textract-conrado/textract_uploads/85441cf0-d4b5-41cf-aabc-59a58b841d20.pdf concluído com sucesso. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:12,468 - INFO - Upload para S3 concluído. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:12,469 - INFO - Iniciando job do Textract para a chave S3: textract_uploads/85441cf0-d4b5-41cf-aabc-59a58b841d20.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:13,310 - INFO - Job do Textract iniciado com Job ID: 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:13,316 - INFO - Aguardando conclusão do job do Textract... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:13,475 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:18,655 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:23,838 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:29,009 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:34,180 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:39,370 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:44,549 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:49,728 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:58:54,897 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:00,545 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:05,727 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:10,936 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:16,159 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:21,325 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:26,483 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:31,656 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:36,828 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:42,001 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:47,180 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:52,887 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 16:59:58,057 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:03,220 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:08,389 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:13,553 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:18,723 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:23,885 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:29,056 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:34,222 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:39,381 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:45,028 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:50,191 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:00:55,362 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:01:01,583 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd concluído com status: SUCCEEDED. Duração: 02:48:48.269 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:01:01,584 - INFO - Job 8e14238213aed22aaa6924327b51748beab24f3458188fc6d24a374c1cea5cbd bem-sucedido. Obtendo resultados... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:05:02,822 - INFO - Texto extraído e sanitizado com sucesso. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:05:02,824 - INFO - Tarefas de limpeza (S3 e local) agendadas em segundo plano. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:05:02,827 - INFO - --- FIM DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 17:05:03,008 - INFO - Tentando excluir o objeto S3: textract_uploads/85441cf0-d4b5-41cf-aabc-59a58b841d20.pdf do bucket: teste-textract-conrado [method=None, endpoint=None, status_code=None]
2025-06-13 17:05:03,731 - INFO - Objeto S3 'textract_uploads/85441cf0-d4b5-41cf-aabc-59a58b841d20.pdf' excluído com sucesso. [method=None, endpoint=None, status_code=None]
2025-06-13 18:04:33,608 - INFO - --- INÍCIO DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:33,613 - INFO - local_temp_filepath (base): /tmp/341993bb-8403-41cc-a92d-269c64f25e33 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:33,614 - INFO - Processando documento de URL: https://transparencia.pmspa.rj.gov.br/ver20240713/tmp/lai_lei_loa/451CC597-A0E7-4777-BE4D-78AF0BE29F11_Loa-2025.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:33,657 - INFO - Tentando baixar documento da URL: https://transparencia.pmspa.rj.gov.br/ver20240713/tmp/lai_lei_loa/451CC597-A0E7-4777-BE4D-78AF0BE29F11_Loa-2025.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:43,609 - INFO - Status da resposta HTTP para URL: 200 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:43,612 - INFO - Content-Type da URL: application/pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:43,613 - INFO - Tentando baixar e salvar arquivo da URL em '/tmp/341993bb-8403-41cc-a92d-269c64f25e33.pdf' [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:43,721 - INFO - Arquivo de URL 'https://transparencia.pmspa.rj.gov.br/ver20240713/tmp/lai_lei_loa/451CC597-A0E7-4777-BE4D-78AF0BE29F11_Loa-2025.pdf' baixado para '/tmp/341993bb-8403-41cc-a92d-269c64f25e33.pdf'. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:43,723 - INFO - Iniciando upload para S3 para a chave: textract_uploads/b2b85840-eb36-48e2-b591-66077d513995.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:04:43,725 - INFO - Tentando fazer upload do arquivo local: /tmp/341993bb-8403-41cc-a92d-269c64f25e33.pdf para o bucket: teste-textract-conrado com a chave: textract_uploads/b2b85840-eb36-48e2-b591-66077d513995.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:05:25,797 - INFO - Upload de '/tmp/341993bb-8403-41cc-a92d-269c64f25e33.pdf' para s3://teste-textract-conrado/textract_uploads/b2b85840-eb36-48e2-b591-66077d513995.pdf concluído com sucesso. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:05:25,803 - INFO - Upload para S3 concluído. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 18:05:25,804 - INFO - Iniciando job do Textract para a chave S3: textract_uploads/b2b85840-eb36-48e2-b591-66077d513995.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
